房源标题,网页网址,性别要求,房屋类型,合租/整租,地址,每月租金,出租时长,时间,学校,出租方式,房源,联系方式
3月初cityu附近合租组队,https://bbs.gter.net/thread-2591491-1-1.html,男女皆可,屋苑,合租,香港城市大学,9000,0,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
罗湖口岸卧室转租，适合城大和中文的学生,https://bbs.gter.net/thread-2591238-1-1.html,男性,洋楼,合租,新银座大厦A座,2900,10个月,2024-03-01,,个人,寄托天下,电话:63657902/ 微信:-/ wh:63657902
红磡超新studio骨折价转租！,https://bbs.gter.net/thread-2591473-1-1.html,男女皆可,其他,整租,芜湖居(私人泳池),11800,3个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
"拎包入住 近地铁商场 性价比高 有阳台（免佣）
租金一减再减，只求好干净的女士",https://bbs.gter.net/thread-2591463-1-1.html,女性,村屋,合租,田心村,5900,0,2024-03-01,,房东,寄托天下,电话:13713868642/ 微信:-/ wh:0085251101888
精緻有獨衞單间在東铁线及旺角地铁口旁边步行只需3分钟，交通周边設施比校區更方便,https://bbs.gter.net/thread-2591449-1-1.html,男女皆可,洋楼,整租,金轮大厦(旺角),6500,0,2024-03-01,,房东,寄托天下,电话:-/ 微信:-/ wh:-
【2024/4/21起租】性价比超高屋苑两室一厅整租,https://bbs.gter.net/thread-2591442-1-1.html,男女皆可,屋苑,整租,龙晖花园,16900,0,2024-03-01,,房东,寄托天下,电话:-/ 微信:-/ wh:62166934
【3月短租】港岛湾仔铜锣湾海景房 studio 短租一个月,https://bbs.gter.net/thread-2591429-1-1.html,男女皆可,洋楼,整租,伟德大厦,9800,1个月,2024-03-01,,房东,寄托天下,电话:19145697642/ 微信:-/ wh:60852355
24fall/近都會理大等/洋樓電梯24小時安保/超大陽台單間,https://bbs.gter.net/thread-2591428-1-1.html,男女皆可,洋楼,合租,高发大厦(红磡),5500,1年,2024-03-01,,房东,寄托天下,电话:66793509/ 微信:-/ wh:66793509
深水埗/长沙湾/荔枝角/南昌 巴士直达城大浸大 三站地铁至理大 租期6个月 至8月底,https://bbs.gter.net/thread-2591405-1-1.html,男性,唐楼,整租,腾达楼,3800,6个月,2024-03-01,,中介/其他,寄托天下,电话:95705042/ 微信:-/ wh:-
海湾轩烟花海景大客厅找厅长，2.26起到期可续,https://bbs.gter.net/thread-2591404-1-1.html,女性,酒店式公寓,合租,海湾轩A座,5400,6个月,2024-03-01,,个人,寄托天下,电话:Mwxyyyyyy_/ 微信:-/ wh:69401034
啟德全新樓 海景房 招租室友【男女皆可、拎包入住】,https://bbs.gter.net/thread-2591385-1-1.html,男女皆可,其他,合租,啓德,9000,0,2024-03-01,,个人,寄托天下,电话:15807117453/ 微信:-/ wh:52823027
旺角洋楼短租拎包入住家具齐全速招室友,https://bbs.gter.net/thread-2591384-1-1.html,男女皆可,洋楼,合租,波鞋街,5500,4个月,2024-03-01,,个人,寄托天下,电话:68596910/ 微信:-/ wh:68596910
日出康城高层海景,https://bbs.gter.net/thread-2591357-1-1.html,男女皆可,洋楼,整租,SEATOSKY(日出康城8期店),26500,0,2024-03-01,,房东,寄托天下,电话:852-68920350/ 微信:-/ wh:852-68920350
港大B1口大房间转租,https://bbs.gter.net/thread-2591350-1-1.html,女性,洋楼,合租,-,4000,5个月,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
【转租4月中-8.15】【大围名城】男生单人间 零押金 可月付 拎包入住 因学期提前结束转租 室友都是研究生 可实地看房 可小刀,https://bbs.gter.net/thread-2591346-1-1.html,男性,屋苑,合租,名城,6800,4个月,2024-03-01,港中文,中介/其他,寄托天下,电话:-/ 微信:-/ wh:59898228
月付~城大，港中，理工 地铁都直达~合租也是家 月付 ~大围交通方便~有修勾陪伴~ 宽敞整洁  爱干净人士首选~可入伙有住家饭,https://bbs.gter.net/thread-2591300-1-1.html,女性,村屋,合租,-,6800,0,2024-03-01,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:-
港大B口洋楼低价招收厅长,https://bbs.gter.net/thread-2591293-1-1.html,男性,洋楼,合租,美城大厦,4800,0,2024-03-01,,个人,寄托天下,电话:18617353937/ 微信:-/ wh:97915204
香港旺角转租  5月初8月中旬 近城大浸会,https://bbs.gter.net/thread-2591288-1-1.html,女性,洋楼,合租,旺角站E2口,3000,3个月,2024-03-01,,个人,寄托天下,电话:52248795/ 微信:-/ wh:-
海湾轩大房小房转租2.25-3.8,https://bbs.gter.net/thread-2591273-1-1.html,女性,酒店式公寓,整租,海湾轩A座,300,1个月,2024-03-01,,个人,寄托天下,电话:Mwxyyyyyy_/ 微信:-/ wh:69401034
大埔仔大房间双人床转租,https://bbs.gter.net/thread-2591272-1-1.html,男女皆可,村屋,合租,大埔仔村,4000,0,2024-03-01,港中文,房东,寄托天下,电话:44031743/ 微信:-/ wh:44031743
香港科技大学大房低价转租,https://bbs.gter.net/thread-2591271-1-1.html,男性,屋苑,合租,峻滢2期,7800,6个月,2024-03-01,,个人,寄托天下,电话:93524508/ 微信:-/ wh:93524508
大房，可短租，合适可以续租。 家具家电齐全，拎包入住。,https://bbs.gter.net/thread-2591268-1-1.html,女性,洋楼,合租,第一城[地铁站],4300,4个月,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
港大均益租房,https://bbs.gter.net/thread-2591264-1-1.html,女性,洋楼,合租,均益大厦第二期,6000,5个月,2024-03-01,,中介/其他,寄托天下,电话:18365184270/ 微信:-/ wh:59395657
【铜锣湾 6000港币 独立套房转租】即日起可租，包水电网 超划算！,https://bbs.gter.net/thread-2591258-1-1.html,男女皆可,洋楼,整租,百德大厦C,6000,0,2024-03-01,,房东,寄托天下,电话:96065512/ 微信:-/ wh:96065512
邻近香港大学(D房），非中介，房东物业免佣金,https://bbs.gter.net/thread-2591253-1-1.html,男女皆可,洋楼,整租,中亚大楼,6800,1年,2024-03-01,,房东,寄托天下,电话:-/ 微信:-/ wh:-
旺角站单间骨折价转租,https://bbs.gter.net/thread-2591241-1-1.html,男性,唐楼,合租,永如大厦,4000,0,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:97003662
九龙城AVA55精致1房1厅招租(近地铁站）,https://bbs.gter.net/thread-2591239-1-1.html,男女皆可,酒店式公寓,整租,九龙城,14500,1年,2024-03-01,,房东,寄托天下,电话:67415276/ 微信:-/ wh:67415276
香港旺角租房！！,https://bbs.gter.net/thread-2591940-1-1.html,女性,洋楼,合租,有成大厦,4000,3个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:84030335
24fall香港理工，香港城市，香港浸会集中学生公寓秋季入住,https://bbs.gter.net/thread-2591945-1-1.html,男女皆可,洋楼,合租,-,6500,1年,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
求租客厅！不经常住，但支持水、电、煤气更名的！,https://bbs.gter.net/thread-2592809-1-1.html,nan,nan,合租,-,2000,6个月,2024-03-01,,个人,寄托天下,电话:14715498826/ 微信:-/ wh:-
4000元！比市场价便宜一半的转租！离港中文最近的公寓！（仅限男）,https://bbs.gter.net/thread-2592660-1-1.html,男性,酒店式公寓,整租,马铃径休憩花园,4000,0,2024-03-01,港中文,中介/其他,寄托天下,电话:59828957/ 微信:-/ wh:-
旺角东/旺角地铁站 电梯楼9楼 5500包水电网,https://bbs.gter.net/thread-2592655-1-1.html,男女皆可,洋楼,整租,旺角东,5500,0,2024-03-01,,房东,寄托天下,电话:62144592/ 微信:-/ wh:-
太子超值3房,https://bbs.gter.net/thread-2592651-1-1.html,男女皆可,洋楼,整租,-,15000,1年,2024-03-01,,房东,寄托天下,电话:95520721/ 微信:-/ wh:95520721
都会轩红磡地铁站上盖小房出租厅不住人,https://bbs.gter.net/thread-2592639-1-1.html,女性,酒店式公寓,合租,红磡,7500,6个月,2024-03-01,,房东,寄托天下,电话:-/ 微信:-/ wh:-
红磡地铁上盖都会轩小房出租。,https://bbs.gter.net/thread-2592637-1-1.html,女性,酒店式公寓,合租,红磡,8000,6个月,2024-03-01,,房东,寄托天下,电话:54614191/ 微信:-/ wh:-
沙田中心 出租女生单间双人间下铺,https://bbs.gter.net/thread-2592627-1-1.html,女性,洋楼,合租,沙田中心,4000,0,2024-03-01,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:-
求mu附近一居室房源,https://bbs.gter.net/thread-2592617-1-1.html,nan,洋楼,整租,-,6000,1年,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:65329072
【港大/坚尼地城地铁/海旁单间转租】,https://bbs.gter.net/thread-2592605-1-1.html,女性,洋楼,合租,太康大厦,6000,0,2024-03-01,,中介/其他,寄托天下,电话:15524920088/ 微信:-/ wh:-
沙田站 沙田中心 女生单间转租,https://bbs.gter.net/thread-2592581-1-1.html,女性,屋苑,合租,沙田中心·沙田广场,5500,0,2024-03-01,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:-
香港大学b2口超高性价比双人间下铺转租，后续可续约！！,https://bbs.gter.net/thread-2592578-1-1.html,女性,洋楼,合租,均益大厦(第一期),3300,3个月,2024-03-01,,个人,寄托天下,电话:18169696023/ 微信:-/ wh:-
2024FALL早鸟优惠 | 大埔墟 新达广场 中大教大生首选,https://bbs.gter.net/thread-2592577-1-1.html,女性,屋苑,合租,新达广场,6000,1年,2024-03-01,港中文,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
科大-康城峻滢山景次卧转租-短期/月付,https://bbs.gter.net/thread-2592573-1-1.html,女性,其他,合租,峻滢,5000,2个月,2024-03-01,,个人,寄托天下,电话:13711299079/ 微信:-/ wh:-
九龍黃金地段 尖沙咀單間近理大步行約十五分钟到,https://bbs.gter.net/thread-2592564-1-1.html,男女皆可,洋楼,合租,重庆大厦,3900,1年,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
西營盤最優質的地段 一梯一伙 靚裝修單位,https://bbs.gter.net/thread-2592563-1-1.html,男女皆可,洋楼,整租,康福阁,19000,1年,2024-03-01,,房东,寄托天下,电话:66290646/ 微信:-/ wh:66290646
150每天 红磡海韵轩海景房客厅转租3.15-3.31,https://bbs.gter.net/thread-2592562-1-1.html,女性,酒店式公寓,合租,海韵轩,2400,0,2024-03-01,,房东,寄托天下,电话:-/ 微信:-/ wh:-
降价出租！太子站一室一厅，拎包入住，13500/月，自3.10日短租半年！,https://bbs.gter.net/thread-2592557-1-1.html,男女皆可,屋苑,整租,别树一居,13500,6个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
出两台富士x100vi ，首发 全新，购于美国官网，四月底香港面交,https://bbs.gter.net/thread-2592521-1-1.html,男女皆可,酒店式公寓,整租,-,100,0,2024-03-01,,房东,寄托天下,电话:15671564755/ 微信:-/ wh:-
九龙城全新未住过一房一厅出租，浸会城大理工都会大学必选,https://bbs.gter.net/thread-2592488-1-1.html,男女皆可,洋楼,整租,珑碧Allegro,19500,0,2024-03-01,,房东,寄托天下,电话:44482168/ 微信:-/ wh:-
大埔仔村短租21天，可与房东商量续租。,https://bbs.gter.net/thread-2592484-1-1.html,男女皆可,唐楼,合租,大埔仔村,4500,1个月,2024-03-01,港中文,房东,寄托天下,电话:-/ 微信:-/ wh:-
性价比拉满！！！家私家电全齐！骨折转折！,https://bbs.gter.net/thread-2592482-1-1.html,男女皆可,洋楼,整租,-,13500,4个月,2024-03-01,,中介/其他,寄托天下,电话:60767195/ 微信:-/ wh:-
海韵轩高层海景小房转租,https://bbs.gter.net/thread-2592474-1-1.html,女性,酒店式公寓,合租,-,7500,1个月,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
"即租即住簡單實在
 房东直租无中介费华明中心高层通风光猛朝南大飄窗面对香港大学站，邻近香港大学站港铁1分钟, 设备齐全地点优胜超方便招男生",https://bbs.gter.net/thread-2592473-1-1.html,男性,洋楼,合租,香港大学,4850,0,2024-03-01,,房东,寄托天下,电话:852-54815747/ 微信:-/ wh:852-53039373
南昌站维港汇3期，全新海景靓房，诚招租客,https://bbs.gter.net/thread-2592467-1-1.html,男女皆可,洋楼,整租,维港汇 Grand Victoria,18000,1年,2024-03-01,,房东,寄托天下,电话:-/ 微信:-/ wh:-
港大地铁站旁，伶包入住超值明亮单间，低价转租租期可议,https://bbs.gter.net/thread-2592465-1-1.html,女性,洋楼,合租,香港大学,7000,0,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
香港沙田地铁站好运中心超低价转租六月七月八月,https://bbs.gter.net/thread-2592458-1-1.html,女性,洋楼,整租,好运中心椰林阁,3600,3个月,2024-03-01,港中文,中介/其他,寄托天下,电话:13246454587/ 微信:-/ wh:56073473
北角两室整套六月份到九月份转租，超低价，一个人想要找合租也可以,https://bbs.gter.net/thread-2592450-1-1.html,男女皆可,洋楼,整租,太隆楼,9500,3个月,2024-03-01,,中介/其他,寄托天下,电话:94785868/ 微信:-/ wh:-
旺角东/旺角 电梯楼10楼，6200包水电网，无中介费,https://bbs.gter.net/thread-2592656-1-1.html,男女皆可,洋楼,整租,利华大楼,6200,0,2024-03-01,,房东,寄托天下,电话:62144592/ 微信:-/ wh:-
"(九龙塘-近城大) 又一居 3房2厅主人套2厕 800尺花园单位

又一居步行7分钟就可以到城大/浸会，到中大也很方便，4室2卫的户型

可步行至城大8分钟 临",https://bbs.gter.net/thread-2592661-1-1.html,男女皆可,洋楼,整租,又一居(C场),33800,0,2024-03-01,港中文,房东,寄托天下,电话:90223889/ 微信:-/ wh:85290223889
便宜真便宜,https://bbs.gter.net/thread-2592438-1-1.html,男女皆可,村屋,合租,赤鱲角天后宫,3888,1年,2024-03-01,,个人,寄托天下,电话:13302998464/ 微信:-/ wh:55250816
旺角中层三房洋楼之安静温馨小房招租｜地理位置优越｜拎包入住｜超高性价比｜手慢无,https://bbs.gter.net/thread-2592668-1-1.html,男女皆可,洋楼,合租,鸿光大厦A座,4600,0,2024-03-01,,个人,寄托天下,电话:55203029/ 微信:-/ wh:55203029
坚尼地城两室转租,https://bbs.gter.net/thread-2592808-1-1.html,男女皆可,唐楼,整租,金宝楼,14000,3个月,2024-03-01,,中介/其他,寄托天下,电话:17787336649/ 微信:-/ wh:-
港理工独立卫浴学生公寓转租，步行15min可到港理工，近高铁站地铁站,https://bbs.gter.net/thread-2592794-1-1.html,男女皆可,其他,整租,-,6300,3个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:WishMeLuck_Zhuo
无中介费 近港大 坚尼地城海景豪宅放租 交通便利，班车直达上环中环,https://bbs.gter.net/thread-2592793-1-1.html,男女皆可,洋楼,整租,[位置],36000,0,2024-03-01,,个人,寄托天下,电话:53139436/ 微信:-/ wh:-
"屯門翠鳴臺 ㄍ房東直租》免佣金。樓下石排站,翠河餐廳,交通便利。景觀開揚.,2房,50平方,廳有露台,主人房有露台,廚房梗廚單位裝修新淨,有雙人床,衣櫃、煮食爐",https://bbs.gter.net/thread-2592789-1-1.html,男女皆可,洋楼,整租,石排站[公交站],14500,0,2024-03-01,,房东,寄托天下,电话:97509940/ 微信:-/ wh:Ab442822
直接業主，免中价，家電齊全，適合來港工作和讀書人士,https://bbs.gter.net/thread-2592787-1-1.html,男女皆可,唐楼,整租,广东道833号,6400,1年,2024-03-01,,房东,寄托天下,电话:97409333/ 微信:-/ wh:97409333
坚尼地城绝美全海景单间转租（女生请进）,https://bbs.gter.net/thread-2592783-1-1.html,女性,洋楼,合租,坚尼地城,9500,4个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:56428864
香港家-尖沙咀女生睡眠艙3/全包可月租/地鐵口步行5分鐘/理大7分鐘/港大城大浸會都會/市中心購物美食/每日清潔#香港碩士博士學生租房#香港青年住宿公寓旅居,https://bbs.gter.net/thread-2592782-1-1.html,女性,洋楼,合租,美园大厦,4410,0,2024-03-01,,中介/其他,寄托天下,电话:008615017977383/ 微信:-/ wh:97977383
靠近城大，理工大，港浸会优质房源出租,https://bbs.gter.net/thread-2592781-1-1.html,男性,唐楼,合租,伟业楼(石硖尾街),4700,6个月,2024-03-01,,个人,寄托天下,电话:15850792387/ 微信:-/ wh:94972129
海湾轩高层海景｜小房转租（无厅长）,https://bbs.gter.net/thread-2592780-1-1.html,女性,酒店式公寓,合租,香港海湾轩(日租公寓),9400,6个月,2024-03-01,,个人,寄托天下,电话:15161557804/ 微信:-/ wh:-
黄埔花园 5800HKD真的是非常划算又方便安保又好室友又优秀的房子 但是由于个人工作原因要搬至离公司近的地方只能忍痛转租 有意者请联系本人,https://bbs.gter.net/thread-2592768-1-1.html,女性,洋楼,合租,黄埔花园金柏苑,5800,4个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:56617319
"香港荃湾帝盛酒店 Dorsett Tsuen Wan（四星级）
出租2个月(4.20-6.19)",https://bbs.gter.net/thread-2592767-1-1.html,男女皆可,酒店,整租,荃湾帝盛酒店,11000,2个月,2024-03-01,,房东,寄托天下,电话:13249895336/ 微信:-/ wh:-
港大/西营盘温馨大房5200元包水电网煤！,https://bbs.gter.net/thread-2592760-1-1.html,女性,洋楼,合租,香港特别行政区政府总部,5200,6个月,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
香港超高性价比Studio转租,https://bbs.gter.net/thread-2592753-1-1.html,女性,洋楼,整租,金陵大厦,5500,4个月,2024-03-01,,中介/其他,寄托天下,电话:51624446/ 微信:-/ wh:643143781
香港科技大学大埔仔村短租四个月（三月底到七月底）,https://bbs.gter.net/thread-2592751-1-1.html,男女皆可,村屋,合租,香港科技大学,4000,0,2024-03-01,港中文,房东,寄托天下,电话:-/ 微信:-/ wh:44031743
全新日出康城致藍天分租房間，距離地鐵站一分鐘,https://bbs.gter.net/thread-2592750-1-1.html,女性,洋楼,合租,致蓝天,6800,0,2024-03-01,,房东,寄托天下,电话:-/ 微信:-/ wh:95655295
皇后大道西近香港大学studio 8月中旬入住,https://bbs.gter.net/thread-2592743-1-1.html,男女皆可,屋苑,整租,皇后大道西,7300,1年,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
海湾轩中层大房转租 限女生,https://bbs.gter.net/thread-2592741-1-1.html,女性,酒店式公寓,合租,-,4950,1个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
hku地铁口 朝南街窗studio 随时入住,https://bbs.gter.net/thread-2592714-1-1.html,男女皆可,洋楼,整租,皇后大道西,6500,1年,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
3.20-4.30短租一个月，男生，近港大,https://bbs.gter.net/thread-2592695-1-1.html,nan,nan,整租,-,5000,1个月,2024-03-01,,个人,寄托天下,电话:17775853356/ 微信:-/ wh:-
独立房间转租 土瓜湾欣荣花园,https://bbs.gter.net/thread-2592694-1-1.html,男性,屋苑,合租,欣荣花园,4400,0,2024-03-01,,个人,寄托天下,电话:67965691/ 微信:-/ wh:67965691
三个月短期转租，自现在起任何时候都可入住,https://bbs.gter.net/thread-2592689-1-1.html,男性,村屋,合租,清水湾道，大埔仔村[公交站],4000,3个月,2024-03-01,,个人,寄托天下,电话:84909606/ 微信:-/ wh:-
香港转租｜近港大坚尼地城性价比超高独立卫浴主卧转租,https://bbs.gter.net/thread-2592685-1-1.html,女性,酒店式公寓,合租,士美菲路,11000,0,2024-03-01,,个人,寄托天下,电话:53008117/ 微信:-/ wh:-
九龙红磡黄埔花园转租招厅长,https://bbs.gter.net/thread-2592677-1-1.html,女性,洋楼,合租,黄埔[地铁站],4700,5个月,2024-03-01,,个人,寄托天下,电话:46732243/ 微信:-/ wh:46732243
黄埔花园3.10-8.10招厅长,https://bbs.gter.net/thread-2592676-1-1.html,女性,洋楼,合租,黄埔花园,4500,5个月,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:92058048
旺角朗豪坊两房一厅房拎包入住，适合成大理工进会学生,https://bbs.gter.net/thread-2592669-1-1.html,男女皆可,洋楼,整租,-,13800,0,2024-03-01,,房东,寄托天下,电话:68412535/ 微信:-/ wh:-
靠谱诚心求租！！,https://bbs.gter.net/thread-2592443-1-1.html,nan,洋楼,整租,-,12000,2个月,2024-03-01,,个人,寄托天下,电话:18567321666/ 微信:-/ wh:-
海韵轩大户型两房整套转租,https://bbs.gter.net/thread-2592428-1-1.html,男女皆可,酒店式公寓,整租,海韵轩,18900,3个月,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
日出康城首都高层出租，三房一厅,https://bbs.gter.net/thread-2591948-1-1.html,男女皆可,洋楼,整租,日出康城首都[公交站],19000,0,2024-03-01,,房东,寄托天下,电话:91678622/ 微信:-/ wh:62231299
海湾轩有房 找厅长合租,https://bbs.gter.net/thread-2592165-1-1.html,男性,酒店式公寓,合租,香港海湾轩(日租公寓),5000,0,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
求租海韵轩小房3月11-4月17日，,https://bbs.gter.net/thread-2592138-1-1.html,女性,酒店式公寓,合租,-,6000,1个月,2024-03-01,,个人,寄托天下,电话:13015258787/ 微信:-/ wh:-
红磡海滨南岸厅长转租，仅限女生，租期5.15-8.15,https://bbs.gter.net/thread-2592136-1-1.html,女性,洋楼,整租,海滨南岸,4100,3个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:55356586
香港科技大学旁房屋出租,https://bbs.gter.net/thread-2592135-1-1.html,男女皆可,村屋,整租,香港科技大学,6000,5个月,2024-03-01,,中介/其他,寄托天下,电话:13706687639/ 微信:-/ wh:-
港硕毕业，房间转租,https://bbs.gter.net/thread-2592130-1-1.html,男性,屋苑,合租,新港城中心,4800,3个月,2024-03-01,,房东,寄托天下,电话:15583108286/ 微信:-/ wh:-
全海景超大主卧短租,https://bbs.gter.net/thread-2592095-1-1.html,男女皆可,洋楼,合租,The Merton,12500,2个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
西营盘港大低价转租单人间3.1-8.15,https://bbs.gter.net/thread-2592085-1-1.html,女性,洋楼,合租,西营盘地铁站,5300,6个月,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
香港租房（短租）,https://bbs.gter.net/thread-2592084-1-1.html,女性,屋苑,合租,得宝花园,3200,5个月,2024-03-01,,个人,寄托天下,电话:18875947535/ 微信:-/ wh:-
佐敦单间+独卫小套间转租,https://bbs.gter.net/thread-2592047-1-1.html,女性,洋楼,整租,宝来大厦,6000,4个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
8月起租 合同一年 近中大/理大/城大/浸会/都会,https://bbs.gter.net/thread-2592044-1-1.html,男女皆可,洋楼,合租,富豪花园翡翠阁,6500,1年,2024-03-01,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:-
【5-8月中旬短租】红磡土瓜湾环海东岸studio双人间招女室友 独立卫浴洗衣机厨房冰箱家具齐全拎包入住 近理工,https://bbs.gter.net/thread-2592039-1-1.html,女性,屋苑,合租,环海·东岸,5300,4个月,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
沙田第一城女生單間招室友近地鐵站,https://bbs.gter.net/thread-2592038-1-1.html,女性,洋楼,合租,沙田第一城第三十九座,6500,0,2024-03-01,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:91935816
"香港旺角租房  超级干净！！！地理位置优越，生活便利
四人合租间",https://bbs.gter.net/thread-2592036-1-1.html,女性,洋楼,合租,毓成楼,5500,5个月,2024-03-01,,中介/其他,寄托天下,电话:13580120845/ 微信:-/ wh:94703906
大埔仔下村近711，科大步行10分钟，3600hkd单间包水电网,https://bbs.gter.net/thread-2592029-1-1.html,男女皆可,村屋,合租,-,3600,3个月,2024-03-01,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:94948049
HK无中介租房群快来呀,https://bbs.gter.net/thread-2592028-1-1.html,男女皆可,唐楼,合租,-,6000,1年,2024-03-01,,个人,寄托天下,电话:m492327441/ 微信:-/ wh:-
康城峻滢2期转租,https://bbs.gter.net/thread-2592024-1-1.html,男性,屋苑,合租,峻滢2期,7000,6个月,2024-03-01,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
香港黄大仙钻石山地铁上盖星河明居租房,https://bbs.gter.net/thread-2592015-1-1.html,男性,洋楼,合租,星河明居,5200,4个月,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:luocaoqun
將軍澳低價轉租,https://bbs.gter.net/thread-2592013-1-1.html,女性,屋苑,合租,领都,5800,0,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
佐敦柯士甸超性价比一房一厅转租,https://bbs.gter.net/thread-2592000-1-1.html,男女皆可,洋楼,整租,文蔚楼,6500,0,2024-03-01,,房东,寄托天下,电话:-/ 微信:-/ wh:-
將軍澳村屋上鋪家電齊全公區大,https://bbs.gter.net/thread-2591999-1-1.html,男性,村屋,合租,宝琳路，茅湖仔村[公交站],3200,5个月,2024-03-01,,个人,寄托天下,电话:17817777482/ 微信:-/ wh:52660139
太和地铁站附近超大单间转租！,https://bbs.gter.net/thread-2591995-1-1.html,男女皆可,唐楼,整租,-,8500,4个月,2024-03-01,港中文,中介/其他,寄托天下,电话:55710695/ 微信:-/ wh:52645380
"南昌一号转租,求女舍友",https://bbs.gter.net/thread-2591994-1-1.html,女性,洋楼,合租,南昌一号,5200,3个月,2024-03-01,,中介/其他,寄托天下,电话:15160716776/ 微信:-/ wh:-
港湾豪庭高层大房转租,https://bbs.gter.net/thread-2591992-1-1.html,女性,屋苑,合租,港湾豪庭,8000,3个月,2024-03-01,,中介/其他,寄托天下,电话:63623141/ 微信:-/ wh:63623141
"中大, 教大, 科学园, 高档小区-嘉熙, 宽敞主卧, 家具齐全拎包入住, 电费平摊，其他水网物业费全包, 近中文大学, 港中大，6-12个月都可",https://bbs.gter.net/thread-2591966-1-1.html,男性,屋苑,合租,嘉熙,8200,1年,2024-03-01,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:-
"中大, 教大, 科学园, 高档小区-嘉熙, 宽敞主卧, 双人床，家具齐全拎包入住, 电费平摊，其他水网物业费全包, 近中文大学, 港中大，6-12个月都可",https://bbs.gter.net/thread-2591964-1-1.html,男性,屋苑,合租,嘉熙,8200,1年,2024-03-01,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:-
中大，教大，科学园，高档小区-海日湾一期，宽敞单间，家具齐全拎包入住，电费平摊，水网物业费全包，近中文大学，港中大，6-12个月都可,https://bbs.gter.net/thread-2591962-1-1.html,男性,屋苑,合租,海日湾一期,7700,6个月,2024-03-01,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:-
大围近地铁站大单间转租,https://bbs.gter.net/thread-2592142-1-1.html,男性,屋苑,合租,金禧花园,5000,0,2024-03-01,港中文,中介/其他,寄托天下,电话:18827816282/ 微信:-/ wh:-
日出康城Malibu超赞主卧招租,https://bbs.gter.net/thread-2592179-1-1.html,女性,屋苑,合租,康城地铁站,8700,0,2024-03-01,,个人,寄托天下,电话:64871592/ 微信:-/ wh:006580391813
转租，两室一厅，短租到3.17（到期可与房东续），可日租，价钱可大刀，家电齐全，水电网全包,https://bbs.gter.net/thread-2592411-1-1.html,男女皆可,洋楼,整租,嘉丽阁,12600,1个月,2024-03-01,,中介/其他,寄托天下,电话:13522986788/ 微信:-/ wh:-
找一名启德的女生舍友,https://bbs.gter.net/thread-2592182-1-1.html,女性,其他,合租,-,10000,1年,2024-03-01,,个人,寄托天下,电话:-/ 微信:-/ wh:-
